愛;あい;love
おかしい;おかしい;strange, funny
～おき;～おき;every other (day) 
億;おく;a hundred million
屋上;おくじょう;the roof top
贈り物;おくりもの;gift
遅れる;おくれる;to be late
お子さん;おこさん;child (polite)
起こす;おこす;wake (up)
行う ;おこなう;do, act
怒る;おこる;get angry
押し入れ  ;おしいれ;closet
お嬢さん;おじょうさん;daughter (polite)
お宅;おたく;your house (polite)
落ちる;おちる;fall, drop, come down
おっしゃる;おっしゃる;to say (polite)
音;おと;sound
落とす;おとす;drop, let fall
踊り;おどり;dancing
踊る;おどる;to dance
驚く;おどろく;to surprise
お祭り;おまつり;festival
お見舞い;おみまい;asking after (a person's health) 
お土産;おみやげ;souvenir
思い出す;おもいだす;recall, remember
思う;おもう;think
おもちゃ;おもちゃ;toy
表;おもて;the front
おや;おや;oh
下りる;おりる;come down
おる;おる;be here (polite)
お礼;おれい;courtesy
折れる;おれる;break, snap
終わり;おわり;the end
～家;～か;the family
カーテン;カーテン;curtain
～会;～かい;club
海岸;かいがん;sea shore
会議;かいぎ;meeting
会場;かいじょう;the place of meeting
会話;かいわ;conversation
帰り;かえり;return (noun) 
変える;かえる;change
科学;かがく;science
鏡;かがみ;mirror
かかる;かかる;take, need, cost, begin, start
学部;～がくぶ;department (of university) 
かける;かける;hang, suspend
かける;かける;sit down
飾る;かざる;decorate
火事;かじ;fire
ガソリン;ガソリン;gasoline
ガソリンスタンド;ガソリンスタンド;gas station
かた;かた;a way of reading
形;かたち;form, shape
片付ける;かたづける;tidy up 
勝つ;かつ;to win
かっこう;かっこう;shape, form
悲しい;かなしい;sad
必ず;かならず;certainly
お・金持ち;かねもち, おかねもち;a rich person
彼女;かのじょ;she
壁;かべ;wall
かまいません;かまいません;it doesn't matter
かむ;かむ;to chew
通う;かよう;go to (school, work) 
ガラス;ガラス;glass
彼;かれ;he
彼ら;かれら;they
乾く;かわく;get dry
代わり;かわり;instead of
変わる;かわる;change
考える;かんがえる;think
関係;かんけい;relationship
看護婦;かんごふ;nurse
簡単;かんたん;easy, simple
がんばる;がんばる;persevere in
気;き;spirit, mind
機会;きかい;opportunity, chance
危険;きけん;danger
聞こえる;きこえる;audible, can hear 
汽車;きしゃ;train (locomotive) 
技術;ぎじゅつ;technique
季節;きせつ;season
規則;きそく;regulations
厳しい;きびしい;strict
きっと;きっと;surely, certainly
絹;きぬ;silk
気分;きぶん;mood
決まる;きまる;be decided
君;きみ;you
決める;きめる;decide
気持ち;きもち;feelings
着物;きもの;Japanese traditional dress
客;きゃく　;guest
急;きゅう;urgent
急行;きゅうこう;express train
教育;きょういく;education
教会;きょうかい;church
競争;きょうそう;compete
興味;きょうみ;interest
近所;きんじょ;neighbor hood
具合;ぐあい;condition
空気;くうき;air
空港;くうこう;air port
草;くさ;grass
くださる;くださる;give (polite) 
首;くび;neck
雲;くも;the clouds
比べる;くらべる;compare
くれる;くれる;give
暮れる;くれる;get dark
～君;～くん;Mr.
け;け;hair
け;け;wool
計画;けいかく;plan
警官;けいかん;policeman
経験;けいけん;experience
経済;けいざい;economy
警察;けいさつ;police
けが・する;けが・する;injury, get hurt, be injured
景色;けしき;scenery
下宿;げしゅく;lodge
決して;けっして;definitely, by no means, not at all
けれど・も;けれど・も;but, however, although, nevertheless
～軒;～けん;door
原因;げんいん;cause
けんか・する;けんか・する;fight
研究;けんきゅう;study, research
研究室;けんきゅうしつ;study (room)
見物;けんぶつ;sightseeing, see, look at
子;こ;child
御～;ご～;(prefix, polite)
こう;こう;like this, this way, thus
郊外;こうがい;suburbs 
講義;こうぎ;lecture
工業;こうぎょう;industry
高校;こうこう;high school 
高等学校;こうとうっがっこう;high school
高校生;こうこうせい;high school student
工場;こうじょう;factory
校長;こうちょう;principal
交通;こうつう;traffic
講堂;こうどう;lecture hall
公務員;こうむいん;public servant
国際;こくさい;international
心;こころ;mind, heart
～ございます;～ございます;be
故障;こしょう;breakdown
ご存じ;ごぞんじ;know
答え;こたえ;answer (noun)
ごちそう;ごちそう;feast, treating (someone)
こっち;こっち;this way
こと;こと;thing, matter, fact, circumstances, business, reason, experience
小鳥;ことり;(small) bird
このあいだ;このあいだ;the other day, a few days ago
このごろ;このごろ;nowadays
細かい;こまかい;small, detailed
ごみ;ごみ;rubbish, trash, garbage
込む;こむ;be crowded
米;こめ;rice
ごらんになる;ごらんになる;see, inspect
これから;これから;in the future, hereafter
怖い;こわい;frightening
壊す;こわす;break, destroy
壊れる;こわれる;be broken
コンサート;コンサート;concert
今度;こんど;next time
今夜;こんや;tonight
最近;さいきん;recently
最後;さいご;last time
最初;さいしょ;first time
財布;さいふ;purse, wallet
探す;さがす;search for, look for
下がる;さがる;down
盛ん;さかん;prosperous
下げる;さげる;hang, let down
差し上げる;さしあげる;give
さっき;さっき;some time ago
寂しい;さびしい;lonely
～様;～さま;Mr., Mrs., Miss.
さ来月;さらいげつ;the month after next
さ来週;さらいしゅう;the week after next
騒ぐ;さわぐ;make a noise
触る;さわる;touch
サンダル;サンダル;sandals
サンドイッチ;サンドイッチ;sandwiches
残念;ざんねん;sorry
字;じ;character
試合;しあい;game
仕方;しかた;method, way
しかる;しかる;scold
～式;～しき;method, system
試験;しけん;examination
事故;じこ;accident
地震;じしん;earthquake
時代;じだい;age, period, generation
下着;したぎ;underwear
したく;したく;preparation, prepare
しっかり;しっかり;firmly
失敗;しっぱい;failure, fail
失礼;しつれい;impolite, rude
辞典;じてん;dictionary
品物;しなもの;article, goods
しばらく;しばらく;for some time
島;しま;island
（～て）しまう;（～て）しまう;~ has been completed or finished, regret
事務所;じむしょ;office
社会;しゃかい;society
社長;しゃちょう;president
じゃま;じゃま;obstacle, intrusion
ジャム;ジャム;jam
自由;じゆう;freedom
習慣;しゅうかん;habit, custom
住所;じゅうしょ;address
柔道;じゅうどう;judo
十分;じゅうぶん;enough
出席;しゅっせき;attend
出発;しゅっぱつ;depart
趣味;しゅみ;hobby
準備;じゅんび;prepare
紹介;しょうかい;introduce
正月;しょうがつ;new year’s day
小学校;しょうがっこう;primary school
小説;しょうせつ;novel
招待;しょうたい;invite
承知;しょうち;consent, agree
将来;しょうらい;future
食事・する;しょくじ・する;have a meal
食料品;しょくりょうひん;foods
女性;じょせい;woman
知らせる;しらせる;let know, inform, tell
調べる;しらべる;investigate
人口;じんこう;population
神社;じんじゃ;Shinto shrine
親切;しんせつ;kind
心配・する;しんぱい・する;worry
新聞社;しんぶんしゃ;newspaper office
水泳;すいえい;swimming
水道;すいどう;water works
ずいぶん;ずいぶん;pretty much, very much 
数学;すうがく;mathematics
スーツケース;スーツケース;suitcase
過ぎる;すぎる;pass
～すぎる;～すぎる;over, too much
す;す;hungry
す;す;empty
すくない;すくない;very few, little
すごい;すごい;fantastic, terrible
すっかり;すっかり;all, quite, completely
ずっと;ずっと;throughout
ステレオ;ステレオ;stereo
捨てる;すてる;throw
砂;すな;sand
すばらしい;すばらしい;wonderful, splendid, magnificent
すべる;すべる;to slide, to slip, to glide
隅;すみ;corner
済む;すむ;end
すり;すり;pickpocket
すると;すると;and, then
～製;～せい;made of (in) 
生活・する;せいかつ・する;life
政治;せいじ;politic
西洋;せいよう;West, Western countries
世界;せかい;world
席;せき;seat
説明;せつめい;explanation
背中;せなか;back
ぜひ;ぜひ;by some means, without fail
世話;せわ;take care of
線;せん;line
ぜんぜん;ぜんぜん;wholly, entirely, completely, not at all (with neg. verb)
戦争;せんそう;war
先輩;せんぱい;one’s senior
専門;せんもん;major
そう;そう;so
相談・する;そうだん・する;consultation
育てる;そだてる;bring up
卒業;そつぎょう;graduate
祖父;そふ;grand father
祖母;そぼ;grand mother
それで;それで;and, then
それに;それに;besides, moreover
それほど;それほど;so, so much
そろそろ;そろそろ;slowly, gradually
そんな・に;そんな・に;so, so much, like that
～代;～だい;charge, fee
退院;たいいん;leave hospital
大学生;だいがくせい;university student
大事;だいじ;important
だいたい;だいたい;general, substantially, outline, main point
タイプ;タイプ;type
だいぶ;だいぶ;very, many, a lot
台風;たいふう;typhoon
倒れる;たおれる;fall down
接続詞;だから［］;so, therefore
確か;たしか;sure, certain
足す;たす;add
～だす;～だす;start to do
訪ねる;たずねる;visit
尋ねる;たずねる;ask
正しい;ただしい;right, correct
畳;たたみ;tatami mat
立てる;たてる;raise, set up
建てる;たてる;build
例えば;たとえば;for example
棚;たな;shelf
楽しみ;たのしみ;pleasure, joy
たまに;たまに;occasionally
ため;ため;for, in order to
だめ;だめ;no, no good, hopeless
たりる;たりる;be enough
男性;だんせい;male
暖房;だんぼう;heating
血;ち;blood
小さな;ちいさな;small
力;ちから;strength, power
ちっとも;ちっとも;not at all
～ちゃん;～ちゃん;~chan
注意;ちゅうい;advise, pay attention
中学校;ちゅうがっこう;junior high school
注射;ちゅうしゃ;inject
駐車場;ちゅうしゃじょう;parking lot
地理;ちり;geography, geographical features
～（に）ついて;～（に）ついて;about, as to
捕まえる;つかまえる;catch
つき;つき;moon
～月;～つき;month
つく;つく;be lit, catch fire
つける;つける;take care
漬ける;つける;soak, pickle
都合;つごう;circumstances, convenience
伝える;つたえる;tell, report
続く;つづく;continue (to be the case), keep up 
続ける;つづける;continue, go on, follow
包む;つつむ;wrap, pack
妻;つま;wife
つもり;つもり;intention
釣る;つる;to fish
連れる;つれる;bring
丁寧;ていねい;polite, courteous
テキスト;テキスト;text
適当;てきとう;appropriate
できる;できる;be made
できるだけ;できるだけ;as much as possible
手伝う;てつだう;help
テニスコート;テニスコート;tennis court
手袋;てぶくろ;gloves
寺;てら;temple
点;てん;point, mark, grade
店員;てんいん;salesclerk
天気予報;てんきよほう;weather forecast
電灯;でんとう;light
電報;でんぽう;telegram
展覧会;てんらんかい;exhibition
道具;どうぐ;tool
とうとう;とうとう;at last
動物園;どうぶつえん;zoo
遠く;とおく;far
通り;とおり;street, road
通る;とおる;pass, go along
～とき;～とき;when ~, while ~
特に;とくに;specially
特別;とくべつ;special
とこや;とこや;barber
年;とし;year
途中;とちゅう;on the way
特急;とっきゅう;special express
どっち;どっち;which
届ける;とどける;deliver
止まる;とまる;stop (transitive verb) 
泊める;とめる;stay
取り替える;とりかえる;exchange
泥棒;どろぼう;robber
直す;なおす;repair
直る;なおる;be repaired
治る;なおる;get well
なかなか;なかなか;very, not easily
～ながら;～ながら;while, as, with
泣く;なく;cry
無くす;なくす;lose
無くなる;なくなる;be lost
亡くなる;なくなる;die
投げる;なげる;throw
なさる;なさる;do (polite) 
なぜ;なぜ;why
鳴る;なる;sound, ring
なるべく;なるべく;as ~ as possible
なるほど;なるほど;I see!, Really!
慣れる;なれる;get used to
におい;におい;smell, odor
苦い;にがい;bitter
～にくい;～にくい;hard to ~
逃げる;にげる;run away
日記;にっき;diary
入院;にゅういん;enter hospital
入学;にゅうがく;enter a school
似る;にる;look like
人形;にんぎょう;doll
盗む;ぬすむ;steal
塗る;ぬる;paint
ぬれる;ぬれる;get wet
ねだん;ねだん;price, cost
熱;ねつ;heat, fever
熱心;ねっしん;eagerness
眠い;ねむい;sleepy
眠る;ねむる;sleep
残る;のこる;remain
のど;のど;throat
乗り換える;のりかえる;transfer
乗り物;のりもの;vehicle, vessel
葉;は;leaf
場合;ばあい;case, occasion
倍;ばい;double, two times
拝見;はいけん;see, look
歯医者;はいしゃ;dentist
ばかり;ばかり;about, only
運ぶ;はこぶ;bring
始める;はじめる;begin
はず;はず;ought to do, should do
恥ずかしい;はずかしい;shameful, be ashamed 
発音;はつおん;pronunciation
はっきり;はっきり;clearly
花見;はなみ;cherry blossom viewing
払う;はらう;pay
番組;ばんぐみ;TV program
反対;はんたい;oppose
日;ひ;day
火;ひ;fire
冷える;ひえる;get cold
引き出し;ひきだし;drawer
ひげ;ひげ;moustache, beard
飛行場;ひこうじょう;airfield, airport 
久しぶり;ひさしぶり;after a long time, long time (no see)
美術館;びじゅつかん;art gallery
非常に;ひじょうに;very, greatly
びっくりする;びっくりする;surprise
引っ越す;ひっこす;move to (house) 
必要;ひつよう;necessary
ひどい;ひどい;cruel
開く;ひらく;to open
ビル;ビル;building
昼間;ひるま;daytime, during the daytime
昼休み;ひるやすみ;lunch break
拾う;ひろう;pick up
増える;ふえる;increase
深い;ふかい;deep
複雑;ふくざつ;complicated
復習;ふくしゅう;review
普通;ふつう;normally, usually
ぶどう;ぶどう;grape
太る;ふとる;grow fat
布団;ふとん;futon
船, 舟;ふね;boat, ship
不便;ふべん;inconvenience
踏む;ふむ;step on
プレゼント;プレゼント;gift, present
文化;ぶんか;culture
文学;ぶんがく;literature
文法;ぶんぽう;grammar
べつに;べつに;separately
ベル;ベル;bell
変;へん;strange
返事・する;へんじ・する;response, respond
貿易;ぼうえき;trade
放送;ほうそう;broadcasting
法律;ほうりつ;law
僕;ぼく;I (used by men with close acquaintances)
星;ほし;star
ほど;ほど;limit, the more ~ the more
ほとんど;ほとんど;almost, hardly
ほめる;ほめる;to praise
翻訳;ほんやく;translate
参る;まいる;come (polite ) 
負ける;まける;lose
まじめ;まじめ;diligent, serious, honest 
まず;まず;at first
または;または;or, the other
間違える;まちがえる;make a mistake
間に合う;まにあう;be in time
～まま;～まま;while
周り;まわり;surroundings
回る;まわる;go round
漫画;まんが;cartoon
真ん中;まんなか;middle, center, half way
見える;みえる;see, can be seen 
湖;みずうみ;lake
みそ;みそ;miso (soup)  
見つかる;みつかる;be found
見つける;みつける;find out
緑;みどり;green
皆;みな;all, everything
港;みなと;seaport, harbor
迎える;むかえる;meet, welcome, greet 
昔;むかし;old time, before, ago
虫;むし;insect
息子;むすこ;son
娘;むすめ;daughter
村;むら;village
無理;むり;compulsion
～目;～め;~st, ~nd, ~rd
召し上がる;めしあがる;eat (polite) 
珍しい;めずらしい;unusual, strange
申し上げる;もうしあげる;say (polite) 
申す;もうす;say (polite) 
もうすぐ;もうすぐ;soon
もし;もし;if
戻る;もどる;return
木綿;もめん;cotton
もらう;もらう;receive
焼く;やく;bake, grill
役に立つ;やくにたつ;useful
約束;やくそく;promise
焼ける;やける;be burned
優しい;やさしい;kind
～やすい;～やすい;be easy to do
やせる;やせる;lose weight
やはり, やっぱり;やはり, やっぱり;as expected, also, likewise, still, just the same
やむ;やむ;stop (e.g. rain)
やめる;やめる;quit smoking
やる;やる;give
柔らかい;やわらかい;soft
湯;ゆ;hot water
夕飯;ゆうはん;dinner
ゆうべ;ゆうべ;last night
輸出;ゆしゅつ;export
指;ゆび;finger
指輪;ゆびわ;ring
夢;ゆめ;dream
揺れる;ゆれる;shake, quake
用;よう;business, errand
用意;ようい;prepare
用事;ようじ;business, errand
汚れる;よごれる;get dirty
予習;よしゅう;preparation
予定;よてい;plan
予約;よやく;reservation
寄る;よる;drop in, stop by
（～に）よると;（～に）よると;according to
喜ぶ;よろこぶ;be delighted
よろしい;よろしい;good
弱い;よわい;weak
理由;りゆう;reason
利用;りよう;use
両方;りょうほう;both
旅館;りょかん;Japanese inn
留守;るす;being away, be out (of one's home or office) 
歴史;れきし;history
連絡・する;れんらく・する;contact
沸かす;わかす;boil
別れる;わかれる;separate
沸く;わく;boil
訳;わけ;reason
忘れ物;わすれもの;a thing left behind
笑う;わらう;laugh
割合・に;わりあい・に;rate
割れる;われる;split, crack
いってらっしゃい。;いってらっしゃい。;So long. (Go and come back.)
いってまいります。;いってまいります。;So long. (I'm going and coming back.)
おかえりなさい。;おかえりなさい。;Welcome home.
おかげさまで。;おかげさまで。;Thanks to you.
おだいじに。;おだいじに。;Take care of your self. (for sick or injured person)
おまたせしました。;おまたせしました。;Sorry, I kept you waiting.
おめでとうございます。;おめでとうございます。;Congratulations.
かしこまりました。;かしこまりました。;Certainly. (said by employee to customer)
それはいけませんね。;それはいけませんね。;That's too bad.
ただいま。;ただいま。;I'm home
よく、いらっしゃいました。;よく、いらっしゃいました。;How nice of you to come.
ああ;ああ;Ah!, Oh!, Alas!
会う;あう;to meet, to interview
青い;あおい;blue, pale, green, unripe, inexperienced
赤い;あかい;red
明い;あかるい;bright, light, cheerful, sunny
秋;あき;autumn, fall
開く;あく;open (e.g. a festival)
開ける;あける;become opened up, be up-to-date, become civilized
上げる;あげる;give, raise, elevate, praise, increase, advance, promote, admit, offer, present, leave with, finish, observe, perform, quote, mention, bear (a child), improve (talents), arrest, engage, fry
朝;あさ;morning
朝御飯;あさごはん;breakfast
あさって;あさって;day after tomorrow
足;あし;foot, pace, gait, leg
あした;あした;tomorrow
あそこ;あそこ;there, over there, that place, yonder
遊ぶ;あそぶ;play, make a visit (esp. for pleasure), be idle, do nothing
暖かい;あたたかい;warm, mild, genial
頭;あたま;head
新しい;あたらしい;new
あちら;あちら;there, yonder, that
暑い;あつい;hot, warm
熱い;あつい;hot (thing)
厚い;あつい;thick, deep, cordial, kind, warm(hearted) 
後;あと;afterwards, since then, in the future
あなた;あなた;you, the other, the other side, there, yonder, that
兄;あに;older brother
姉;あね;older sister
あの;あの;that over there
アパート;アパート;apartment, apartment building, apart
あびる;あびる;bathe, take a shower, bask in the sun
危ない;あぶない;dangerous, critical, grave, uncertain, unreliable, limping, narrow, close, watch out!
甘い;あまい;delicious 
あまり;あまり;not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, remains, scraps, residue, fullness, other, too much
雨;あめ;rain
洗う;あらう;to wash
ある;ある;to be, to have
歩く;あるく;to walk
あれ;あれ;that (over there) 
いい;いい;good
よい;よい;good, nice, pleasant, ok
いいえ;いいえ;no, nay, yes, well
言う;いう;to say
家;いえ;house, family
行く;いく, ゆく;to go
いくつ;いくつ;how many?, how old?
いくら;いくら;how much?, how many?
池;いけ;pond
医者;いしゃ;doctor (medical)
いす;いす;chair
忙しい;いそがしい;busy, irritated 
痛い;いたい;painful
一;いち;one
一日;いちにち;first of month
一番;いちばん;best, first, number one, a game, a round, a bout, a fall, an event (in a meet)
いつ;いつ;when 
五日;いつか;five days, the fifth day (of the month)
一緒;いっしょ;together, meeting, company
五つ;いつつ;five
いつも;いつも;always, usually, every time, never (with neg. verb)
今;いま;this, now 
意味;いみ;meaning, significance
妹;いもうと;younger sister
嫌;いや;disagreeable, detestable, unpleasant, reluctant
入口;いりぐち;entrance, gate, approach, mouth 
居る;いる;to be (animate), to exist
要る;いる;need
入れる;いれる;put in, take in, bring in, let in, admit, introduce, usher in, insert, employ, listen to, tolerate, comprehend, include, pay (interest), cast (votes)
色;いろ;color, sensuality, lust
いろいろ;いろいろ;various 
上;うえ;top, best, superior quality, going up, presenting, showing, aboard a ship or vehicle, from the standpoint of, as a matter of (fact)
後;うしろ;afterwards, since then, in the future
薄い;うすい;thin, weak, watery, diluted
歌;うた;song, poetry
歌う;うたう;sing
うち;うち;(one's own) home, inside 
生まれる;うまれる;be born
海;うみ;sea, beach
売る;うる;sell
上着;うわぎ;coat, tunic, jacket, outer garment
絵;え;picture, drawing, painting, sketch 
映画;えいが;movie, film
映画館;えいがかん;movie theatre (theater), cinema
英語;えいご;the English language
ええ;ええ;yes
駅;えき;station
エレベーター;エレベーター;elevator
~円;~えん;yen
鉛筆;えんぴつ;pencil
おいしい;おいしい;delicious, tasty
大きい;おおきい;big, large, great
大勢;おおぜい;many, a great number (of people) 
お母さん;おかあさん;(polite) mother 
お菓子;おかし;confections, sweets, candy
お金;おかね;money
起きる;おきる;get up, rise
置く;おく;put, place
奥さん;おくさん;(polite) wife, your wife, his wife, married lady, madam
お酒;おさけ;(polite) wine, sake
お皿;おさら;(polite) dish, plate
伯父;おじ;uncle (older than one's parent) 
叔父;おじ;uncle (younger than one's parent)
おじいさん;おじいさん;grandfather, male senior-citizen 
教える;おしえる;teach, inform, instruct
押す;おす;push, press, stamp (e.g. a passport)
遅い;おそい;late, slow
お茶;おちゃ;tea (green)
お手洗い;おてあらい;toilet, restroom, lavatory, bathroom (US)
お父さん;おとうさん;(polite) father
弟;おとうと;younger brother, faithful service to those older, brotherly affection 
男;おとこ;man
男の子;おとこのこ;boy
おととい;おととい;day before yesterday
おととし;おととし;year before last
大人;おとな;adult 
おなか;おなか;stomach 
同じ;おなじ;same, identical, equal, uniform, equivalent, similar, common (origin), changeless
お兄さん;おにいさん;(polite) older brother, (vocative) "Mister?"
お姉さん;おねえさん;(polite) older sister, (vocative) "Miss?"
伯母;おば;aunt (older than one's parent), 
叔母;おば;aunt (younger than one's parent)
おばあさん;おばあさん;grandmother, female senior-citizen 
お弁当;おべんとう;lunch box
覚える;おぼえる;remember, memorize
重い;おもい;heavy, massive, serious, important, severe, oppressed
おもしろい;おもしろい;interesting, amusing
泳ぐ;およぐ;swim
降りる;おりる;get off, descend (e.g. a mountain)
終る;おわる;to finish, to close 
音楽;おんがく;music, musical movement
女;おんな;woman, girl, daughter 
女の子;おんなのこ;girl
~回;~かい;(first, second, etc.) time, round
~階;~かい;(first, second, etc.) floor, story, grade
外国;がいこく;foreign country
外国人;がいこくじん;foreigner
会社;かいしゃ;company, corporation
階段;かいだん;stairs
買い物;かいもの;shopping
買う;かう;buy
返す;かえす;return (something)
帰る;かえる;go back, go home, come home, return
顔;かお;face (person)
かかる;かかる;take (time), need, cost, suffer from
かぎ;かぎ;key
書く;かく;write
学生;がくせい;student
~か月;~かげつ;month(s) (time interval)
かける;かける;wear, call 
傘;かさ;umbrella
貸す;かす;lend
風;かぜ;wind, cold
家族;かぞく;family, members of a family
かた;かた;polite way of indicating person
片仮名;かたかな;katakana
~月;~がつ;month (of the year)
学校;がっこう;school
角;かど;corner, horn
家内;かない;(my) wife
かばん;かばん;bag, satchel, briefcase, basket
花瓶;かびん;(flower) vase
かぶる;かぶる;wear, put on (head), pour or dash water (on oneself)
紙;かみ;paper
カメラ;カメラ;camera
火曜日;かようび;Tuesday
辛い;からい;painful, heart-breaking
体;からだ;appearance, air, condition, state, form 
借りる;かりる;borrow, hire, rent, buy on credit
軽い;かるい;light, non-serious, minor
カレンダー;カレンダー;calendar
川;かわ;river
河;かわ;river, stream
~側;~がわ;side, part
かわいい;かわいい;pretty, cute, lovely, charming, dear, darling, pet
漢字;かんじ;Chinese characters, kanji
木;き;tree, wood, timber
黄色い;きいろい;yellow
消える;きえる;go out, vanish, disappear
聞く;きく;hear, listen, ask
北;きた;north 
ギター;ギター;guitar
汚い;きたない;dirty, unclean, filthy
喫茶店;きっさてん;coffee shop
切手;きって;man of ability 
切符;きっぷ;ticket
昨日;きのう;yesterday
九;きゅう;nine
牛肉;ぎゅうにく;beef
今日;きょう;today, this day
教室;きょうしつ;classroom
兄弟;きょうだい;siblings
去年;きょねん;last year 
嫌い;きらい;dislike, hate
切る;きる;cut, chop, hash, carve, saw, clip, shear, slice, strip, cut down, punch, sever (connections), pause, break off, disconnect, turn off, hang up, cross (a street), finish, be through, complete
着る;きる;to wear, put on (from shoulders down)
きれい;きれい;pretty, clean, nice, tidy, beautiful, fair 
キロ;キロ;kilogram, kilometer
銀行;ぎんこう;bank
金曜日;きんようび;Friday
薬;くすり;medicine
ください;ください;please (kana only), (with te-form verb) please give me 
果物;くだもの;fruit
口;くち;mouth, orifice, opening
靴;くつ;shoes, footwear
靴下;くつした;socks
国;くに;country
曇る;くもる;become cloudy, become dim
暗い;くらい;dark, gloomy
~くらい, ~ぐらい;~くらい, ~ぐらい;about, some, rank, grade
クラス;クラス;class
グラム;グラム;gram
来る;くる;come, come to hand, arrive, approach, call on, set in, be due, become, grow, get, come from, be caused by, derive from
車;くるま;car, vehicle, wheel
黒い;くろい;black, dark
今朝;けさ;this morning
消す;けす;erase, delete, turn off power
結構;けっこう;splendid, nice, wonderful, delicious, sweet, construction, architecture, well enough, tolerably
結婚;けっこん;marriage
月曜日;げつようび;Monday
玄関;げんかん;entranceway, entry hall
元気;げんき;health(y), robust, vigor, energy, vitality, vim, stamina, spirit, courage, pep
~個;~こ;counter for small objects, piece(s), item(s)
五;ご;five
~語;~ご;language
公園;こうえん;(public) park
交番;こうばん;police box
声;こえ;voice
コート;コート;coat, tennis court
ここ;ここ;here 
午後;ごご;afternoon, P.M.
九日;ここのか;nine days, the ninth day (of the month)
九つ;ここのつ;nine
御主人;ごしゅじん;(polite) your husband, her husband 
午前;ごぜん;morning, A.M.
答える;こたえる;to answer, to reply 
こちら;こちら;this person, this direction, this side, thereafter
コップ;コップ;glass (Netherlands: Kop)
今年;ことし;this year 
言葉;ことば;word(s), phrase, language, speech
子供;こども;child, children
この;この;this
御飯;ごはん;rice (cooked), meal
困る;こまる;be troubled, be worried, be bothered
これ;これ;this 
~ころ, ~ごろ;~ころ, ~ごろ;time, about, towards, around
今月;こんげつ;this month
今週;こんしゅう;this week
こんな;こんな;such, like this
今晩;こんばん;tonight, this evening
さあ;さあ;come (interjection), come now, well
~歳;~さい;years old
魚;さかな;fish
先;さき;the future, forward, priority, precedence, former, previous, old, late 
咲く;さく;to bloom
作文;さくぶん;composition, writing
さす;さす;put up (an umbrella), light (a fire)  
~冊;~さつ;counter for volumes, copies
雑誌;ざっし;journal, magazine
砂糖;さとう;sugar
寒い;さむい;cold (e.g. weather)
再来年;さらいねん;year after next
三;さん;three
~さん;~さん;Mr., Mrs., Miss
散歩;さんぽ;walk, stroll
四;し;four
~時;~じ;hour (of day)
塩;しお;salt
しかし;しかし;however, but
時間;じかん;time
仕事;しごと;work, occupation, employment
辞書;じしょ;dictionary, lexicon
静か;しずか;quiet, peaceful
下;した;under, below, beneath
七;しち;seven
質問;しつもん;question, inquiry
自転車;じてんしゃ;bicycle
自動車;じどうしゃ;automobile
死ぬ;しぬ;to die
字引;じびき;dictionary
自分;じぶん;myself, oneself
閉まる;しまる;to close, become closed
閉める;しめる;to close, shut
締める;しめる;to tie, fasten
じゃあ;じゃあ;well, well then
写真;しゃしん;photograph
シャツ;シャツ;shirt, singlet
十;じゅう;10, ten
~週間;~しゅうかん;week(s) (time interval)
授業;じゅぎょう;lesson, class work
宿題;しゅくだい;homework
上手;じょうず;skill, skillful, dexterity
丈夫;じょうぶ;good health, robustness, strong, solid, durable, hero, gentleman, warrior, manly person
しょうゆ;しょうゆ;soy sauce 
食堂;しょくどう;cafeteria, dining room
知る;しる;know, understand, be acquainted with, feel
白い;しろい;white
新聞;しんぶん;newspaper
水曜日;すいようび;Wednesday
吸う;すう;to smoke, breathe in, sip, suck
スカート;スカート;skirt
好き;すき;liking, fondness, love
~すぎ;~すぎ;past, after
すぐに;すぐに;at once, instantly 
少し;すこし;small quantity, little, few, something, little while, short distance
涼しい;すずしい;cool, refreshing
~ずつ;~ずつ;each, respectively
ストーブ;ストーブ;heater, stove
スプーン;スプーン;spoon
スポーツ;スポーツ;sport
ズボン;ズボン;trousers (French: jupon)
住む;すむ;abide, reside, live in, inhabit, dwell
スリッパ;スリッパ;slippers
する;する;do 
座る;すわる;sit
背;せい;height, stature
生徒;せいと;pupil
セーター;セーター;sweater, jumper
せっけん;せっけん;soap
背広;せびろ;business suit
狭い;せまい;narrow, confined, small
ゼロ;ゼロ;zero
千;せん;thousand, many
先月;せんげつ;last month
先週;せんしゅう;last week, the week before
先生;せんせい;teacher, master, doctor
洗濯;せんたく;washing, laundry
全部;ぜんぶ;all, entire, whole, altogether
掃除;そうじ;cleaning, sweeping
そうして;そうして;and, like that
そして;そして;then, and, and now
そこ;そこ;there, bottom, sole
そちら;そちら;over there, the other
外;そと;other place, the rest
その;その;the, that 
そば;そば;near, close, beside, vicinity, proximity, besides, while 
空;そら;sky
それ;それ;it, that
それから;それから;and then, after that
それでは;それでは;in that situation, well then ...
~台;~だい;counter for machines, stand, rest, rack
大学;だいがく;university
大使館;たいしかん;embassy
大丈夫;だいじょうぶ;safe, all right, O.K.
大好き;だいすき;very likeable, like very much
大切;たいせつ;important
たいてい;たいてい;usually, generally
台所;だいどころ;kitchen
たいへん;たいへん;awful, dreadful, terrible, very, serious
高い;たかい;tall, high, expensive
たくさん;たくさん;many, a lot, much
タクシー;タクシー;taxi
出す;だす;take out, put out, send
